Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,17131.009766,17221.109375,17089.009766,17156.849609,17156.849609,87810000
2014-09-18,17163.730469,17275.369141,17163.730469,17265.990234,17265.990234,85300000
2014-09-19,17267.210938,17350.640625,17257.460938,17279.740234,17279.740234,349620000
2014-09-22,17271.710938,17277.880859,17159.359375,17172.679688,17172.679688,74300000
2014-09-23,17165.910156,17171.880859,17055.869141,17055.869141,17055.869141,77090000
2014-09-24,17056.640625,17226.599609,17033.929688,17210.060547,17210.060547,80530000
2014-09-25,17204.859375,17204.859375,16945.800781,16945.800781,16945.800781,93520000
2014-09-26,16948.619141,17148.150391,16948.109375,17113.150391,17113.150391,74670000
2014-09-29,17107.689453,17107.689453,16934.429688,17071.220703,17071.220703,70220000
2014-09-30,17070.449219,17145.099609,17017.109375,17042.900391,17042.900391,102290000
2014-10-01,17040.460938,17041.160156,16776.130859,16804.710938,16804.710938,104240000
2014-10-02,16808.269531,16857.250000,16674.039063,16801.050781,16801.050781,75490000
2014-10-03,16802.199219,17027.839844,16802.199219,17009.689453,17009.689453,87940000
2014-10-06,17010.339844,17099.390625,16930.380859,16991.910156,16991.910156,655450000
2014-10-07,16988.250000,16988.250000,16715.789063,16719.390625,16719.390625,79420000
2014-10-08,16718.650391,17006.910156,16663.259766,16994.220703,16994.220703,106930000
2014-10-09,16989.369141,16989.369141,16649.039063,16659.250000,16659.250000,93210000
2014-10-10,16654.880859,16757.599609,16543.910156,16544.099609,16544.099609,136370000
2014-10-13,16535.429688,16602.410156,16310.469727,16321.070313,16321.070313,107830000
2014-10-14,16321.900391,16463.669922,16273.639648,16315.190430,16315.190430,110410000
2014-10-15,16313.299805,16313.299805,15855.120117,16141.740234,16141.740234,160380000
2014-10-16,16137.139648,16211.120117,15935.219727,16117.240234,16117.240234,131670000
2014-10-17,16118.389648,16427.380859,16118.389648,16380.410156,16380.410156,137910000
2014-10-20,16373.150391,16401.630859,16260.540039,16399.669922,16399.669922,94320000
2014-10-21,16406.029297,16620.779297,16405.769531,16614.810547,16614.810547,105110000
2014-10-22,16615.259766,16653.890625,16459.849609,16461.320313,16461.320313,92050000
2014-10-23,16468.070313,16767.519531,16468.070313,16677.900391,16677.900391,99420000
2014-10-24,16677.039063,16811.710938,16649.720703,16805.410156,16805.410156,90400000
